 ID,PARAM,Date,Flow,SYM
08LE021,1,1911/06/01,17,
08LE021,1,1911/06/02,17,
08LE021,1,1911/06/03,17,
08LE021,1,1911/06/04,18.3,
08LE021,1,1911/06/05,17.3,
08LE021,1,1911/06/06,15.9,
08LE021,1,1911/06/07,15.8,
08LE021,1,1911/06/08,14.8,
08LE021,1,1911/06/09,14.6,
08LE021,1,1911/06/10,14.6,
08LE021,1,1911/06/11,15.1,
08LE021,1,1911/06/12,16.2,
08LE021,1,1911/06/13,16.4,
08LE021,1,1911/06/14,16.5,
08LE021,1,1911/06/15,15.1,
08LE021,1,1911/06/16,13.4,
08LE021,1,1911/06/17,11.5,
08LE021,1,1911/06/18,10.5,
08LE021,1,1911/06/19,9.63,
08LE021,1,1911/06/20,9.29,
08LE021,1,1911/06/21,8.58,
08LE021,1,1911/06/22,8.21,
08LE021,1,1911/06/23,8.01,
08LE021,1,1911/06/24,7.9,
08LE021,1,1911/06/25,7.67,
08LE021,1,1911/06/26,7.31,
08LE021,1,1911/06/27,8.21,
08LE021,1,1911/06/28,7.45,
08LE021,1,1911/06/29,6.88,
08LE021,1,1911/06/30,6.8,
08LE021,1,1911/07/01,7.67,
08LE021,1,1911/07/02,6.8,
08LE021,1,1911/07/03,6.29,
08LE021,1,1911/07/04,5.75,
08LE021,1,1911/07/05,5.47,
08LE021,1,1911/07/06,5.18,
08LE021,1,1911/07/07,5.47,
08LE021,1,1911/07/08,6.8,
08LE021,1,1911/07/09,9.63,
08LE021,1,1911/07/10,8.98,
08LE021,1,1911/07/11,8.83,
08LE021,1,1911/07/12,7.59,
08LE021,1,1911/07/13,6.37,
08LE021,1,1911/07/14,5.86,
08LE021,1,1911/07/15,5.35,
08LE021,1,1911/07/16,5.15,
08LE021,1,1911/07/17,4.84,
08LE021,1,1911/07/18,4.45,
08LE021,1,1911/07/19,4.22,
08LE021,1,1911/07/20,4.02,
08LE021,1,1911/07/21,3.85,
08LE021,1,1911/07/22,3.62,
08LE021,1,1911/07/23,3.6,
08LE021,1,1911/07/24,3.48,
08LE021,1,1911/07/25,3.34,
08LE021,1,1911/07/26,3.26,
08LE021,1,1911/07/27,3.2,
08LE021,1,1911/07/28,2.97,
08LE021,1,1911/07/29,2.92,
08LE021,1,1911/07/30,2.63,
08LE021,1,1911/07/31,2.58,
08LE021,1,1911/08/01,2.58,
08LE021,1,1911/08/02,2.44,
08LE021,1,1911/08/03,2.41,
08LE021,1,1911/08/04,2.37,
08LE021,1,1911/08/05,2.24,
08LE021,1,1911/08/06,2.31,
08LE021,1,1911/08/07,3.54,
08LE021,1,1911/08/08,4.28,
08LE021,1,1911/08/09,3.62,
08LE021,1,1911/08/10,2.86,
08LE021,1,1911/08/11,2.71,
08LE021,1,1911/08/12,2.58,
08LE021,1,1911/08/13,2.44,
08LE021,1,1911/08/14,2.31,
08LE021,1,1911/08/15,2.24,
08LE021,1,1911/08/16,2.24,
08LE021,1,1911/08/17,2.17,
08LE021,1,1911/08/18,2.11,
08LE021,1,1911/08/19,1.99,
08LE021,1,1911/08/20,2.17,
08LE021,1,1911/08/21,1.93,
08LE021,1,1911/08/22,1.93,
08LE021,1,1911/08/23,1.93,
08LE021,1,1911/08/24,1.93,
08LE021,1,1911/08/25,1.87,
08LE021,1,1911/08/26,1.78,
08LE021,1,1911/08/27,1.78,
08LE021,1,1911/08/28,1.81,
08LE021,1,1911/08/29,1.78,
08LE021,1,1911/08/30,1.78,
08LE021,1,1911/08/31,1.64,
08LE021,1,1911/09/01,1.61,
08LE021,1,1911/09/02,1.58,
08LE021,1,1911/09/03,1.49,
08LE021,1,1911/09/04,1.52,
08LE021,1,1911/09/05,1.87,
08LE021,1,1911/09/06,1.93,
08LE021,1,1911/09/07,1.93,
08LE021,1,1911/09/08,1.93,
08LE021,1,1911/09/09,1.49,
08LE021,1,1911/09/10,1.78,
08LE021,1,1911/09/11,1.64,
08LE021,1,1911/09/12,1.58,
08LE021,1,1911/09/13,1.78,
08LE021,1,1911/09/14,2.17,
08LE021,1,1911/09/15,2.51,
08LE021,1,1911/09/16,2.24,
08LE021,1,1911/09/17,2.08,
08LE021,1,1911/09/18,1.93,
08LE021,1,1911/09/19,1.93,
08LE021,1,1911/09/20,1.93,
08LE021,1,1911/09/21,1.87,
08LE021,1,1911/09/22,1.78,
